Control,length_mu
sd24_10x5a4_roothairs.csv,287.4477867
sd24_10x5a5_roothairs.csv,281.5826386
sd24_10x5a6_roothairs.csv,306.7379266
sd24_10x5a7_roothairs.csv,287.4400013
sd24_10x5a8_roothairs.csv,307.9940674
sd24_10x5a9_roothairs.csv,250.2145081
sd24_10x6a1_roothairs.csv,295.9127798
sd24_10x6a2_roothairs.csv,305.6281317
sd24_10x6a3_roothairs.csv,176.6683312
sd24_10x6a4_roothairs.csv,231.4554097
sd24_10x6a5_roothairs.csv,363.8280585
sd24_10x6a6_roothairs.csv,419.1756592
sd24_10x6a7_roothairs.csv,315.6602173
sd25_10x1a1_roothairs.csv,100.5896835
sd25_10x21_roothairs.csv,124.8757883
sd25_10xs11_roothairs.csv,103.7792412
sd25_10xs12_roothairs.csv,100.2052173
sd26_10x2a1_roothairs.csv,48.28158342
sd26_10x3a1_roothairs.csv,57.8220891
sd26_10x3a2_roothairs.csv,54.98573545
sd26_10x3a3_roothairs.csv,63.58008957
sd26_10x4a1_roothairs.csv,54.85147095
sd26_10x5a1_roothairs.csv,43.598946
sd26_10x5a2_roothairs.csv,44.33817083
sd26_10x71_roothairs.csv,51.40456391
sd26_10x72_roothairs.csv,68.02936033
sd26_10xa1_roothairs.csv,67.35065441
sd26_10xa2_roothairs.csv,74.55229493
sd27_10x11_roothairs.csv,161.8930228
sd27_10x12_roothairs.csv,219.2735308
sd27_10x13_roothairs.csv,202.1681413
sd27_10x14_roothairs.csv,194.7632234
sd27_10x15_roothairs.csv,229.1714637
sd27_10x16_roothairs.csv,148.9771081
sd27_10x21_roothairs.csv,229.7711791
sd27_10x22_roothairs.csv,110.1916534
sd27_10x23_roothairs.csv,236.1531717
sd27_10x24_roothairs.csv,190.4441833
sd27_10x25_roothairs.csv,172.1119704
sd27_10x26_roothairs.csv,245.781344
sd27_10x27_roothairs.csv,164.685721
sd27_10x31_roothairs.csv,150.0412741
sd27_10x32_roothairs.csv,153.5870081
sd27_10x33_roothairs.csv,250.158939
sd27_10x34_roothairs.csv,235.5044971
sd27_10x41_roothairs.csv,234.147366
sd27_10x42_roothairs.csv,202.8776197
sd27_10x43_roothairs.csv,172.2040051
sd27_10x44_roothairs.csv,192.3170471
sd27_10x8a1_roothairs.csv,221.2693049
sd27_10x8a2_roothairs.csv,99.45763497
sd27_10x8a3_roothairs.csv,275.0621692
